post_id,platform,post_type,date,post_day,time,caption,hashtags,num_likes,num_comments,num_shares,caption_length,num_hashtags,post_hour,sentiment_score
21,Twitter,poll,02-05-2023,Tuesday,06:15 AM,"New post, check it out!","#Memes, #News, #Sports",559,136,55,23,3,6,neutral
22,Twitter,carousel,30-01-2023,Monday,01:30 PM,Best day ever! 🎉,"#Politics, #Entertainment, #Sports",1961,44,439,16,3,13,positive
23,Twitter,text,02-10-2023,Monday,12:15 PM,Exciting news! 🚀,"#Tech, #Trending, #Politics",332,109,348,16,3,12,positive
24,Instagram,carousel,01-01-2023,Sunday,08:00 PM,Exciting news! 🚀,"#Foodie, #InstaDaily",5000,80,399,16,2,20,positive
25,Twitter,poll,17-05-2023,Wednesday,12:15 AM,Amazing experience! 🌟,"#Entertainment, #Tech",898,130,480,21,2,0,positive
26,Facebook,carousel,05-10-2023,Thursday,06:30 AM,Disappointed but moving on.,#Social,1992,70,515,27,1,6,negative
27,Instagram,text,06-10-2023,Friday,10:00 AM,Best day ever! 🎉,#Fashion,3161,162,137,16,1,10,positive
28,Facebook,poll,01-03-2023,Wednesday,08:00 AM,Just another day.,"#Events, #Community, #Friends",2083,500,388,17,3,8,neutral
29,Facebook,image,07-01-2023,Saturday,10:30 AM,Could be better.,#Events,548,153,731,16,1,10,negative
30,Facebook,carousel,03-02-2023,Friday,12:30 AM,Amazing experience! 🌟,#Community,4594,216,739,21,1,0,positive
31,Facebook,poll,10-09-2023,Sunday,01:45 PM,Disappointed but moving on.,"#Events, #Marketing, #Family",4795,449,978,27,3,13,negative
32,Instagram,image,01-07-2023,Saturday,02:45 PM,Exciting news! 🚀,"#Tech, #Photography, #InstaDaily",4665,202,183,16,3,14,positive
33,Twitter,video,27-09-2023,Wednesday,07:00 PM,Loving this new vibe! 😍,"#Sports, #Trending, #Entertainment",119,147,240,23,3,19,positive
34,Twitter,poll,09-02-2023,Thursday,03:30 PM,Exciting news! 🚀,#Memes,2253,162,28,16,1,15,positive
35,Instagram,image,06-06-2023,Tuesday,07:30 PM,Feeling down today.,"#Fitness, #Foodie, #Tech",1309,201,852,19,3,19,negative
36,Facebook,video,08-04-2023,Saturday,07:15 PM,Amazing experience! 🌟,"#Social, #Events, #Friends",5000,500,43,21,3,19,positive
37,Facebook,video,11-05-2023,Thursday,12:30 AM,Just another day.,"#Family, #Marketing",4245,59,83,17,2,0,neutral
38,Twitter,poll,02-05-2023,Tuesday,12:30 AM,Best day ever! 🎉,#Entertainment,2463,187,445,16,1,0,positive
39,Facebook,video,01-01-2023,Sunday,06:00 AM,Here's a quick update.,#Social,5000,430,980,22,1,6,neutral
40,Instagram,carousel,04-08-2023,Friday,12:45 PM,Could be better.,#Foodie,447,333,845,16,1,12,negative
41,Twitter,carousel,27-12-2023,Wednesday,11:30 AM,Amazing experience! 🌟,"#Entertainment, #Trending",667,176,461,21,2,11,positive
42,Instagram,video,23-11-2023,Thursday,02:00 AM,Not my best day. 😞,#Photography,4929,252,730,18,1,2,negative
43,Twitter,carousel,31-03-2023,Friday,04:00 PM,Best day ever! 🎉,"#News, #Tech, #Trending",2586,97,85,16,3,16,positive
44,Instagram,text,06-07-2023,Thursday,08:00 AM,Disappointed but moving on.,"#Fashion, #Travel, #Tech",3259,50,177,27,3,8,negative
45,Twitter,video,01-12-2023,Friday,10:00 AM,Best day ever! 🎉,"#Trending, #Sports, #News",2236,132,118,16,3,10,positive
46,Instagram,text,16-05-2023,Tuesday,10:15 PM,Exciting news! 🚀,"#Fashion, #InstaDaily, #Photography",2251,380,427,16,3,22,positive
47,Facebook,poll,08-08-2023,Tuesday,05:45 PM,Feeling down today.,"#Events, #Social, #Family",4726,44,993,19,3,17,negative
48,Facebook,video,22-03-2023,Wednesday,03:15 AM,Feeling down today.,#Family,5000,232,16,19,1,3,negative
49,Twitter,image,17-04-2023,Monday,03:00 PM,Just another day.,"#Trending, #Entertainment",725,169,298,17,2,15,neutral
50,Instagram,text,12-07-2023,Wednesday,12:00 AM,Not my best day. 😞,"#Beauty, #Photography, #Fashion",1551,206,127,18,3,0,negative
51,Twitter,text,14-02-2023,Tuesday,06:00 PM,Loving this new vibe! 😍,#Tech,1268,73,251,23,1,18,positive
52,Twitter,image,14-07-2023,Friday,03:00 PM,Loving this new vibe! 😍,"#Politics, #Entertainment, #Memes",950,113,327,23,3,15,positive
53,Twitter,video,12-11-2023,Sunday,05:30 PM,Exciting news! 🚀,"#Trending, #Sports, #Politics",1498,46,96,16,3,17,positive
54,Instagram,image,21-01-2023,Saturday,01:00 AM,Disappointed but moving on.,"#Foodie, #Fitness, #InstaDaily",4297,360,825,27,3,1,negative
55,Twitter,carousel,02-10-2023,Monday,11:30 PM,What do you think?,"#Tech, #Entertainment",592,34,496,18,2,23,neutral
56,Instagram,image,13-03-2023,Monday,11:15 PM,Not my best day. 😞,#Beauty,3401,190,230,18,1,23,negative
57,Instagram,video,13-07-2023,Thursday,09:15 AM,Here's a quick update.,"#Fitness, #Foodie, #Travel",4846,134,498,22,3,9,neutral
58,Facebook,video,27-12-2023,Wednesday,04:00 AM,Here's a quick update.,"#Social, #Events, #Family",2204,116,728,22,3,4,neutral
59,Twitter,video,24-12-2023,Sunday,07:45 AM,Just another day.,#Trending,344,99,194,17,1,7,neutral
60,Instagram,carousel,19-05-2023,Friday,04:30 AM,Loving this new vibe! 😍,"#Foodie, #InstaDaily, #Tech",4763,332,956,23,3,4,positive
61,Instagram,video,31-12-2023,Sunday,10:30 PM,Feeling down today.,"#Photography, #InstaDaily",3544,167,761,19,2,22,negative
62,Facebook,carousel,27-01-2023,Friday,03:45 PM,Not my best day. 😞,"#Community, #Friends, #Marketing",3742,227,849,18,3,15,negative
63,Twitter,image,15-05-2023,Monday,06:30 AM,What do you think?,"#News, #Sports, #Politics",227,163,127,18,3,6,neutral
64,Instagram,carousel,19-04-2023,Wednesday,07:45 PM,"New post, check it out!",#Tech,130,452,724,23,1,19,neutral
65,Instagram,image,20-09-2023,Wednesday,06:00 AM,Exciting news! 🚀,#Foodie,3982,314,326,16,1,6,positive
66,Facebook,text,03-01-2023,Tuesday,03:00 AM,Loving this new vibe! 😍,"#Family, #Events, #Friends",2265,39,318,23,3,3,positive
67,Facebook,carousel,23-04-2023,Sunday,08:15 AM,Disappointed but moving on.,"#Marketing, #Family, #Community",2026,390,165,27,3,8,negative
68,Instagram,video,28-12-2023,Thursday,04:45 PM,Feeling down today.,"#InstaDaily, #Fitness",560,486,677,19,2,16,negative
69,Twitter,image,14-10-2023,Saturday,06:45 PM,What do you think?,#Politics,187,89,284,18,1,18,neutral
70,Facebook,text,12-06-2023,Monday,09:30 AM,Not my best day. 😞,"#Friends, #Family",3094,86,965,18,2,9,negative
71,Instagram,video,10-04-2023,Monday,12:00 AM,Here's a quick update.,"#Fashion, #Foodie",3398,261,630,22,2,0,neutral
72,Facebook,carousel,05-05-2023,Friday,04:45 PM,"New post, check it out!",#Family,1690,257,656,23,1,16,neutral
73,Facebook,text,18-07-2023,Tuesday,10:00 PM,Loving this new vibe! 😍,#Events,3026,11,761,23,1,22,positive
74,Instagram,video,14-04-2023,Friday,10:30 AM,Loving this new vibe! 😍,"#Tech, #Travel",5000,454,744,23,2,10,positive
75,Facebook,video,26-07-2023,Wednesday,08:15 PM,Best day ever! 🎉,#Social,5000,500,404,16,1,20,positive
76,Instagram,text,27-07-2023,Thursday,07:15 PM,Just another day.,"#Tech, #Foodie, #Photography",2153,81,114,17,3,19,neutral
77,Twitter,carousel,05-07-2023,Wednesday,06:15 PM,Loving this new vibe! 😍,"#Tech, #Trending, #Politics",3571,102,96,23,3,18,positive
78,Instagram,poll,19-01-2023,Thursday,07:15 AM,Amazing experience! 🌟,#Tech,2990,30,365,21,1,7,positive
79,Instagram,carousel,13-12-2023,Wednesday,04:45 AM,Amazing experience! 🌟,"#Tech, #Photography",4678,189,785,21,2,4,positive
80,Facebook,text,25-06-2023,Sunday,03:15 PM,Best day ever! 🎉,#Community,553,320,312,16,1,15,positive
81,Facebook,video,04-01-2023,Wednesday,06:30 PM,Here's a quick update.,"#Family, #Community, #Social",2642,33,413,22,3,18,neutral
82,Instagram,carousel,19-11-2023,Sunday,12:30 PM,Disappointed but moving on.,#Foodie,4656,314,757,27,1,12,negative
83,Instagram,video,06-12-2023,Wednesday,04:00 AM,Feeling down today.,#Fashion,5000,173,792,19,1,4,negative
84,Facebook,carousel,03-10-2023,Tuesday,07:00 PM,Feeling down today.,#Marketing,1203,263,417,19,1,19,negative
85,Facebook,text,06-07-2023,Thursday,07:00 AM,"New post, check it out!","#Community, #Family",2566,368,304,23,2,7,neutral
86,Twitter,text,25-11-2023,Saturday,07:30 AM,Best day ever! 🎉,"#Politics, #Sports",2416,50,62,16,2,7,positive
87,Instagram,text,23-05-2023,Tuesday,10:30 PM,"New post, check it out!",#Beauty,15,70,454,23,1,22,neutral
88,Facebook,text,03-05-2023,Wednesday,12:30 PM,Best day ever! 🎉,"#Social, #Family",3404,244,67,16,2,12,positive
89,Twitter,carousel,03-05-2023,Wednesday,08:00 AM,Amazing experience! 🌟,"#Trending, #News, #Sports",2884,197,339,21,3,8,positive
90,Instagram,poll,19-03-2023,Sunday,04:00 AM,Disappointed but moving on.,"#Foodie, #Fashion",3195,109,243,27,2,4,negative
91,Facebook,carousel,15-09-2023,Friday,12:45 AM,Could be better.,"#Community, #Events",3956,402,462,16,2,0,negative
92,Facebook,video,23-02-2023,Thursday,05:15 PM,Loving this new vibe! 😍,#Marketing,1857,216,344,23,1,17,positive
93,Instagram,carousel,07-05-2023,Sunday,12:30 AM,Not my best day. 😞,"#Tech, #Fashion, #InstaDaily",951,432,734,18,3,0,negative
94,Facebook,image,27-11-2023,Monday,04:30 AM,Best day ever! 🎉,"#Friends, #Family, #Social",1694,207,290,16,3,4,positive
95,Instagram,poll,07-03-2023,Tuesday,07:15 PM,Amazing experience! 🌟,"#Beauty, #Fashion",3005,124,517,21,2,19,positive
96,Instagram,carousel,12-07-2023,Wednesday,05:45 PM,Amazing experience! 🌟,"#Fitness, #Foodie",36,294,911,21,2,17,positive
97,Twitter,video,27-10-2023,Friday,11:45 PM,Here's a quick update.,#Memes,314,108,458,22,1,23,neutral
98,Twitter,text,05-08-2023,Saturday,08:45 AM,Best day ever! 🎉,"#Politics, #Tech, #Memes",229,179,38,16,3,8,positive
99,Instagram,poll,29-12-2023,Friday,12:15 PM,Loving this new vibe! 😍,"#Travel, #InstaDaily, #Fitness",5000,500,204,23,3,12,positive
100,Instagram,image,06-06-2023,Tuesday,09:00 PM,Here's a quick update.,"#InstaDaily, #Travel",4483,357,25,22,2,21,neutral
101,Facebook,image,20-10-2023,Friday,11:30 PM,Just another day.,#Community,1203,424,534,17,1,23,neutral
102,Twitter,poll,01-04-2023,Saturday,02:00 PM,Amazing experience! 🌟,"#Memes, #Entertainment, #News",366,91,458,21,3,14,positive
103,Facebook,poll,04-07-2023,Tuesday,07:30 PM,Feeling down today.,#Social,1926,162,979,19,1,19,negative
104,Twitter,video,17-09-2023,Sunday,12:15 AM,Exciting news! 🚀,"#Entertainment, #Trending, #Tech",601,107,126,16,3,0,positive
105,Twitter,image,07-12-2023,Thursday,03:45 AM,Exciting news! 🚀,"#Politics, #Tech",1178,135,356,16,2,3,positive
106,Facebook,image,14-07-2023,Friday,05:30 PM,Just another day.,"#Community, #Family, #Social",3834,257,230,17,3,17,neutral
107,Instagram,video,02-10-2023,Monday,03:45 PM,Feeling down today.,#Beauty,5000,484,5,19,1,15,negative
108,Facebook,carousel,01-11-2023,Wednesday,03:00 AM,Feeling down today.,"#Marketing, #Community",2595,348,838,19,2,3,negative
109,Instagram,text,27-04-2023,Thursday,04:45 AM,Not my best day. 😞,"#Photography, #InstaDaily, #Travel",1542,116,345,18,3,4,negative
110,Twitter,carousel,06-04-2023,Thursday,12:45 PM,Not my best day. 😞,"#Politics, #Memes",3456,116,424,18,2,12,negative
111,Facebook,text,17-07-2023,Monday,02:45 AM,Not my best day. 😞,"#Social, #Friends",1311,362,26,18,2,2,negative
112,Instagram,poll,22-06-2023,Thursday,01:15 AM,What do you think?,"#Beauty, #Foodie",3775,69,70,18,2,1,neutral
113,Facebook,text,04-03-2023,Saturday,06:00 AM,"New post, check it out!","#Friends, #Community, #Events",74,338,650,23,3,6,neutral
114,Twitter,video,03-04-2023,Monday,05:30 PM,Loving this new vibe! 😍,"#Memes, #Sports, #Tech",676,265,316,23,3,17,positive
115,Facebook,poll,04-08-2023,Friday,10:45 PM,Here's a quick update.,#Social,2673,167,714,22,1,22,neutral
116,Instagram,video,10-02-2023,Friday,12:30 AM,Disappointed but moving on.,"#Travel, #Fashion, #Foodie",5000,500,203,27,3,0,negative
117,Instagram,poll,04-05-2023,Thursday,09:00 PM,Could be better.,"#Photography, #InstaDaily",3618,54,13,16,2,21,negative
118,Facebook,poll,07-07-2023,Friday,08:30 AM,Could be better.,#Marketing,31,126,123,16,1,8,negative
119,Facebook,image,12-11-2023,Sunday,08:30 AM,Disappointed but moving on.,"#Marketing, #Community",234,403,461,27,2,8,negative
120,Instagram,carousel,20-03-2023,Monday,10:30 AM,Disappointed but moving on.,"#Foodie, #Fitness, #InstaDaily",908,378,571,27,3,10,negative
121,Instagram,image,25-06-2023,Sunday,01:15 AM,What do you think?,"#Beauty, #Tech",3676,139,892,18,2,1,neutral
122,Twitter,poll,05-02-2023,Sunday,06:45 PM,Feeling down today.,#Politics,2434,68,170,19,1,18,negative
123,Instagram,carousel,07-03-2023,Tuesday,08:00 AM,Amazing experience! 🌟,"#Beauty, #Fashion, #Fitness",3469,339,338,21,3,8,positive
124,Facebook,image,21-12-2023,Thursday,07:30 PM,Feeling down today.,"#Events, #Friends, #Community",4925,254,139,19,3,19,negative
125,Facebook,poll,30-12-2023,Saturday,11:30 PM,Amazing experience! 🌟,"#Community, #Marketing, #Friends",5000,354,483,21,3,23,positive
126,Facebook,carousel,13-04-2023,Thursday,02:15 PM,Amazing experience! 🌟,"#Family, #Community, #Friends",3792,470,442,21,3,14,positive
127,Instagram,poll,04-03-2023,Saturday,09:00 AM,"New post, check it out!","#InstaDaily, #Foodie",3577,255,427,23,2,9,neutral
128,Facebook,carousel,13-11-2023,Monday,09:15 AM,Not my best day. 😞,"#Community, #Family",3695,45,501,18,2,9,negative
129,Instagram,carousel,30-08-2023,Wednesday,05:45 AM,Just another day.,"#Foodie, #Beauty, #InstaDaily",4841,77,23,17,3,5,neutral
130,Twitter,image,22-12-2023,Friday,12:45 AM,Amazing experience! 🌟,#Trending,1459,135,62,21,1,0,positive
131,Facebook,video,01-02-2023,Wednesday,11:30 AM,Not my best day. 😞,#Events,3939,457,420,18,1,11,negative
132,Twitter,carousel,04-08-2023,Friday,02:30 PM,Feeling down today.,#Tech,1367,92,119,19,1,14,negative
133,Instagram,carousel,24-08-2023,Thursday,06:15 AM,Exciting news! 🚀,#Fitness,367,103,728,16,1,6,positive
134,Facebook,video,06-10-2023,Friday,07:15 PM,Disappointed but moving on.,"#Marketing, #Family",4838,315,570,27,2,19,negative
135,Facebook,image,19-05-2023,Friday,05:15 PM,Just another day.,"#Friends, #Family",3457,243,2,17,2,17,neutral
136,Twitter,poll,01-11-2023,Wednesday,07:30 AM,Disappointed but moving on.,"#Memes, #Trending, #News",684,220,423,27,3,7,negative
137,Instagram,carousel,01-06-2023,Thursday,04:45 PM,Best day ever! 🎉,#Fashion,3823,301,528,16,1,16,positive
138,Twitter,video,31-08-2023,Thursday,06:00 AM,What do you think?,"#Tech, #Sports",1374,156,271,18,2,6,neutral
139,Instagram,image,03-01-2023,Tuesday,03:30 AM,What do you think?,#InstaDaily,1372,322,830,18,1,3,neutral
140,Instagram,carousel,20-03-2023,Monday,05:15 AM,Just another day.,"#Foodie, #Travel, #InstaDaily",4004,414,695,17,3,5,neutral
141,Facebook,poll,04-02-2023,Saturday,08:45 AM,Not my best day. 😞,"#Marketing, #Family",620,302,917,18,2,8,negative
142,Twitter,carousel,26-10-2023,Thursday,09:30 PM,Just another day.,"#Sports, #Entertainment",476,179,124,17,2,21,neutral
143,Instagram,poll,31-10-2023,Tuesday,02:45 AM,"New post, check it out!","#Fashion, #Tech, #Foodie",3175,218,270,23,3,2,neutral
144,Twitter,carousel,15-09-2023,Friday,04:15 AM,Best day ever! 🎉,"#Politics, #News, #Trending",102,198,143,16,3,4,positive
145,Facebook,image,17-01-2023,Tuesday,05:15 PM,Disappointed but moving on.,"#Family, #Events",1843,21,688,27,2,17,negative
146,Twitter,video,01-05-2023,Monday,01:00 AM,Exciting news! 🚀,#Politics,1493,47,432,16,1,1,positive
147,Twitter,image,20-02-2023,Monday,08:00 PM,Best day ever! 🎉,#Politics,1770,203,327,16,1,20,positive
148,Facebook,video,26-06-2023,Monday,11:30 PM,Best day ever! 🎉,"#Family, #Friends",2766,500,844,16,2,23,positive
149,Instagram,video,04-11-2023,Saturday,05:15 AM,Not my best day. 😞,"#Tech, #InstaDaily, #Fashion",2499,500,789,18,3,5,negative
150,Instagram,text,24-02-2023,Friday,09:45 AM,Here's a quick update.,"#InstaDaily, #Photography",277,24,220,22,2,9,neutral
151,Instagram,video,11-12-2023,Monday,08:30 AM,Best day ever! 🎉,"#Fashion, #Fitness",5000,300,618,16,2,8,positive
152,Facebook,video,15-01-2023,Sunday,08:15 AM,Could be better.,"#Marketing, #Community",1869,178,341,16,2,8,negative
153,Facebook,text,30-12-2023,Saturday,12:15 AM,Not my best day. 😞,"#Events, #Marketing, #Family",2497,423,463,18,3,0,negative
154,Twitter,poll,08-12-2023,Friday,11:15 PM,"New post, check it out!","#News, #Tech, #Memes",1514,190,17,23,3,23,neutral
155,Facebook,video,29-05-2023,Monday,04:30 PM,Exciting news! 🚀,#Friends,3472,226,2,16,1,16,positive
156,Facebook,image,11-03-2023,Saturday,01:00 PM,Disappointed but moving on.,"#Marketing, #Social",3579,346,878,27,2,13,negative
157,Instagram,poll,25-02-2023,Saturday,06:45 PM,Not my best day. 😞,"#Fashion, #Foodie, #InstaDaily",5000,500,98,18,3,18,negative
158,Instagram,image,10-02-2023,Friday,10:30 PM,Amazing experience! 🌟,#Photography,583,248,517,21,1,22,positive
159,Twitter,text,11-12-2023,Monday,05:45 AM,Feeling down today.,"#News, #Politics",352,144,168,19,2,5,negative
160,Facebook,video,14-10-2023,Saturday,02:30 AM,Feeling down today.,#Marketing,5000,500,923,19,1,2,negative
161,Twitter,carousel,09-04-2023,Sunday,10:30 AM,Not my best day. 😞,"#Sports, #Trending, #News",2642,189,20,18,3,10,negative
162,Instagram,poll,19-11-2023,Sunday,08:00 PM,What do you think?,"#Foodie, #InstaDaily, #Tech",4611,78,896,18,3,20,neutral
163,Twitter,carousel,12-02-2023,Sunday,08:45 AM,Loving this new vibe! 😍,"#Entertainment, #Trending, #Sports",3110,42,278,23,3,8,positive
164,Facebook,image,22-08-2023,Tuesday,12:15 AM,Feeling down today.,"#Events, #Community",508,335,246,19,2,0,negative
165,Facebook,poll,10-05-2023,Wednesday,12:45 PM,Best day ever! 🎉,#Events,1664,327,376,16,1,12,positive
166,Facebook,poll,27-11-2023,Monday,04:15 AM,Loving this new vibe! 😍,"#Community, #Friends, #Social",1846,455,830,23,3,4,positive
167,Twitter,poll,02-11-2023,Thursday,12:45 PM,Could be better.,#Memes,886,157,181,16,1,12,negative
168,Twitter,text,22-09-2023,Friday,10:30 AM,"New post, check it out!","#News, #Sports",2098,42,43,23,2,10,neutral
169,Twitter,carousel,12-11-2023,Sunday,06:45 PM,"New post, check it out!","#News, #Tech",4123,211,243,23,2,18,neutral
170,Facebook,video,30-10-2023,Monday,07:00 AM,Loving this new vibe! 😍,#Events,5000,257,94,23,1,7,positive
171,Twitter,text,10-04-2023,Monday,09:30 PM,Best day ever! 🎉,#Politics,891,45,167,16,1,21,positive
172,Instagram,carousel,31-07-2023,Monday,09:00 AM,Disappointed but moving on.,"#Fashion, #Foodie, #Photography",1222,231,905,27,3,9,negative
173,Twitter,carousel,04-04-2023,Tuesday,01:30 AM,Here's a quick update.,"#Sports, #Entertainment, #Tech",861,142,253,22,3,1,neutral
174,Twitter,carousel,29-06-2023,Thursday,03:30 PM,What do you think?,"#Trending, #Tech, #Memes",687,210,60,18,3,15,neutral
175,Instagram,image,08-11-2023,Wednesday,01:00 AM,"New post, check it out!","#Beauty, #InstaDaily",3845,147,98,23,2,1,neutral
176,Twitter,poll,22-09-2023,Friday,05:00 AM,Disappointed but moving on.,#Entertainment,1126,149,31,27,1,5,negative
177,Instagram,video,01-06-2023,Thursday,07:45 PM,"New post, check it out!","#Travel, #Foodie",5000,90,676,23,2,19,neutral
178,Facebook,poll,06-11-2023,Monday,12:15 PM,Exciting news! 🚀,"#Community, #Social",3584,461,449,16,2,12,positive
179,Twitter,carousel,07-01-2023,Saturday,06:15 AM,Just another day.,"#Politics, #Trending",3339,95,87,17,2,6,neutral
180,Instagram,video,24-06-2023,Saturday,04:30 AM,Amazing experience! 🌟,#Beauty,4718,29,693,21,1,4,positive
181,Facebook,video,10-01-2023,Tuesday,10:45 AM,Here's a quick update.,#Events,5000,222,334,22,1,10,neutral
182,Facebook,carousel,28-01-2023,Saturday,08:15 AM,Loving this new vibe! 😍,"#Friends, #Events, #Community",4860,320,32,23,3,8,positive
183,Twitter,image,26-11-2023,Sunday,10:30 PM,Best day ever! 🎉,#Entertainment,1486,136,384,16,1,22,positive
184,Twitter,image,15-02-2023,Wednesday,07:30 PM,Amazing experience! 🌟,"#Memes, #Tech, #Politics",357,170,483,21,3,19,positive
185,Facebook,carousel,11-11-2023,Saturday,12:30 AM,Amazing experience! 🌟,"#Marketing, #Family, #Friends",2379,421,750,21,3,0,positive
186,Instagram,image,28-03-2023,Tuesday,01:45 PM,Could be better.,#Tech,4508,486,265,16,1,13,negative
187,Instagram,poll,11-06-2023,Sunday,07:45 AM,Best day ever! 🎉,"#Tech, #Beauty, #Fitness",2546,77,784,16,3,7,positive
188,Instagram,text,23-09-2023,Saturday,07:30 PM,Just another day.,#Foodie,3890,94,226,17,1,19,neutral
189,Twitter,carousel,22-11-2023,Wednesday,05:45 AM,Feeling down today.,"#Memes, #Tech, #Entertainment",631,203,287,19,3,5,negative
190,Instagram,carousel,13-09-2023,Wednesday,11:45 AM,Just another day.,#Photography,2260,99,961,17,1,11,neutral
191,Instagram,image,04-06-2023,Sunday,03:15 PM,Just another day.,"#Foodie, #Beauty",5000,271,601,17,2,15,neutral
192,Facebook,carousel,08-02-2023,Wednesday,03:00 AM,What do you think?,#Events,2112,402,610,18,1,3,neutral
193,Twitter,text,01-11-2023,Wednesday,12:00 AM,Disappointed but moving on.,#Entertainment,361,87,86,27,1,0,negative
194,Twitter,carousel,03-03-2023,Friday,03:00 AM,What do you think?,"#Entertainment, #Sports, #Politics",55,112,366,18,3,3,neutral
195,Twitter,image,14-10-2023,Saturday,01:45 AM,Could be better.,"#Memes, #Sports",2210,104,291,16,2,1,negative
196,Instagram,carousel,31-01-2023,Tuesday,06:45 AM,Could be better.,"#Beauty, #InstaDaily",4548,181,200,16,2,6,negative
197,Instagram,image,26-12-2023,Tuesday,11:30 PM,Here's a quick update.,#Foodie,540,348,660,22,1,23,neutral
198,Instagram,poll,05-10-2023,Thursday,01:15 AM,Could be better.,#Photography,3794,183,746,16,1,1,negative
199,Facebook,text,01-09-2023,Friday,02:30 AM,Just another day.,"#Social, #Friends, #Family",1329,34,887,17,3,2,neutral
200,Instagram,image,03-12-2023,Sunday,04:15 AM,Loving this new vibe! 😍,"#Tech, #Beauty, #Travel",1052,335,360,23,3,4,positive
201,Twitter,poll,03-04-2023,Monday,07:30 PM,Could be better.,"#Trending, #Memes, #Sports",22,43,200,16,3,19,negative
202,Instagram,image,19-05-2023,Friday,03:15 PM,Just another day.,#Tech,521,87,890,17,1,15,neutral
203,Twitter,poll,08-04-2023,Saturday,12:00 PM,Disappointed but moving on.,"#Tech, #Trending",3496,126,200,27,2,12,negative
204,Twitter,video,12-12-2023,Tuesday,12:45 PM,Disappointed but moving on.,"#Trending, #Politics",1765,43,33,27,2,12,negative
205,Twitter,image,30-12-2023,Saturday,08:00 AM,Could be better.,"#Memes, #Entertainment",1500,180,36,16,2,8,negative
206,Twitter,carousel,24-11-2023,Friday,03:15 PM,Best day ever! 🎉,"#Memes, #Tech",930,46,17,16,2,15,positive
207,Instagram,video,16-09-2023,Saturday,04:30 PM,Exciting news! 🚀,"#Beauty, #InstaDaily",1370,331,169,16,2,16,positive
208,Instagram,text,05-11-2023,Sunday,11:30 AM,Could be better.,"#Travel, #Beauty, #Foodie",703,433,207,16,3,11,negative
209,Facebook,text,03-01-2023,Tuesday,08:30 PM,Disappointed but moving on.,"#Marketing, #Community, #Social",2983,103,93,27,3,20,negative
210,Twitter,carousel,02-06-2023,Friday,07:15 PM,Exciting news! 🚀,#News,1170,11,378,16,1,19,positive
211,Twitter,poll,05-03-2023,Sunday,10:15 PM,Loving this new vibe! 😍,"#Politics, #Entertainment, #Trending",2379,219,7,23,3,22,positive
